,Year,Leading Cause,Sex,Race Ethnicity,Deaths,Death Rate,Age Adjusted Death Rate
26,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,87.0,8.3,8.1
27,2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,137.0,16.1,22.0
28,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2722.0,258.6,247.3
29,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
30,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
31,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,36.0,7.4,7.7
32,2007,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,56.0,11.6,16.2
33,2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
34,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,70.0,13.6,17.6
35,2007,All Other Causes,M,Other Race/ Ethnicity,24.0,53.54813559322028,52.78361581920898
36,2007,All Other Causes,M,Black Non-Hispanic,1163.0,136.5,162.4
37,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
38,2007,Alzheimer's Disease (G30),F,White Non-Hispanic,107.0,7.5,3.5
39,2007,All Other Causes,M,Not Stated/Unknown,43.0,53.54813559322028,52.78361581920898
40,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,22.0,4.3,3.9
41,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,82.0,53.54813559322028,52.78361581920898
42,2007,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,11.0,53.54813559322028,52.78361581920898
43,2007,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,22.0,53.54813559322028,52.78361581920898
44,2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
45,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
46,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Hispanic,114.0,10.5,9.9
47,2007,"Assault (Homicide: Y87.1, X85-Y09)",M,Black Non-Hispanic,267.0,31.3,31.1
48,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
49,2007,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,137.0,16.1,22.7
50,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Not Stated/Unknown,5.0,53.54813559322028,52.78361581920898
51,2007,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
52,2007,All Other Causes,M,White Non-Hispanic,1749.0,130.7,115.9
53,2007,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1800.0,171.0,161.7
54,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Asian and Pacific Islander,58.0,11.3,15.8
55,2007,Diabetes Mellitus (E10-E14),F,Hispanic,205.0,17.6,22.6
56,2007,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,358.0,34.0,32.5
57,2007,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3356.0,250.9,213.7
58,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,164.0,14.0,18.3
59,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,154.0,14.1,17.4
60,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Other Race/ Ethnicity,7.0,53.54813559322028,52.78361581920898
61,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Black Non-Hispanic,163.0,19.1,19.0
62,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,248.0,23.6,22.1
63,2007,Septicemia (A40-A41),F,Black Non-Hispanic,89.0,8.5,8.1
64,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
65,2007,Malignant Neoplasms (Cancer: C00-C97),F,Hispanic,969.0,83.0,100.7
66,2007,Cerebrovascular Disease (Stroke: I60-I69),F,White Non-Hispanic,372.0,25.9,14.4
67,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Other Race/ Ethnicity,43.0,53.54813559322028,52.78361581920898
68,2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,White Non-Hispanic,89.0,6.2,3.5
69,2007,All Other Causes,F,Asian and Pacific Islander,182.0,35.3,44.6
70,2007,Aortic Aneurysm and Dissection (I71),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
71,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,218.0,20.0,23.1
72,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,6.0,53.54813559322028,52.78361581920898
73,2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Black Non-Hispanic,166.0,15.8,15.0
74,2007,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,237.0,17.7,15.0
75,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,Hispanic,183.0,16.8,17.9
76,2007,Atherosclerosis (I70),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
77,2007,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
78,2007,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,267.0,20.0,16.7
79,2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,123.0,9.2,7.6
80,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,13.0,53.54813559322028,52.78361581920898
81,2007,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1523.0,178.7,229.4
82,2007,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Asian and Pacific Islander,13.0,2.5,3.2
83,2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,78.0,6.7,8.9
84,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,496.0,102.5,157.8
85,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,Black Non-Hispanic,87.0,8.3,7.4
86,2007,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,51.0,53.54813559322028,52.78361581920898
87,2007,Cerebrovascular Disease (Stroke: I60-I69),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
88,2007,Chronic Lower Respiratory Diseases (J40-J47),M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
89,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,6.0,53.54813559322028,52.78361581920898
90,2007,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,25.0,5.2,8.3
91,2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,107.0,9.8,12.8
92,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,109.0,9.3,9.5
93,2007,All Other Causes,F,White Non-Hispanic,1680.0,117.1,81.5
94,2007,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
95,2007,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,395.0,76.7,88.4
96,2007,Influenza (Flu) and Pneumonia (J09-J18),M,White Non-Hispanic,530.0,39.6,32.9
97,2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,22.0,4.3,6.3
98,2007,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,528.0,109.1,145.9
99,2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
100,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,295.0,28.0,26.9
101,2007,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1013.0,92.9,163.5
102,2007,Septicemia (A40-A41),F,Hispanic,49.0,4.2,5.5
103,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Black Non-Hispanic,377.0,44.2,44.2
104,2007,Mental and Behavioral Disorders due to Use of Alcohol (F10),M,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
105,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,66.0,13.6,25.7
106,2007,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,43.0,8.9,16.7
107,2007,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,345.0,25.8,21.7
108,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2121.0,248.9,340.2
109,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,White Non-Hispanic,162.0,11.3,7.3
110,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,158.0,18.5,20.6
111,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1418.0,121.5,164.3
112,2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,5.0,53.54813559322028,52.78361581920898
113,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
114,2007,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
115,2007,Malignant Neoplasms (Cancer: C00-C97),F,White Non-Hispanic,3518.0,245.2,167.4
116,2007,All Other Causes,M,Hispanic,988.0,90.6,142.6
117,2007,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
118,2007,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,261.0,19.5,17.6
119,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,8.0,53.54813559322028,52.78361581920898
120,2007,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,White Non-Hispanic,5632.0,421.0,350.7
121,2007,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Not Stated/Unknown,5.0,53.54813559322028,52.78361581920898
122,2007,Diabetes Mellitus (E10-E14),M,Black Non-Hispanic,246.0,28.9,38.1
123,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,297.0,22.2,19.8
124,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,163.0,15.5,14.8
125,2007,Alzheimer's Disease (G30),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
126,2007,Cerebrovascular Disease (Stroke: I60-I69),M,Black Non-Hispanic,213.0,25.0,33.0
127,2007,Cerebrovascular Disease (Stroke: I60-I69),M,Other Race/ Ethnicity,7.0,53.54813559322028,52.78361581920898
128,2007,"Assault (Homicide: Y87.1, X85-Y09)",F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
129,2007,Cerebrovascular Disease (Stroke: I60-I69),M,Hispanic,126.0,11.6,20.0
130,2007,Diabetes Mellitus (E10-E14),M,Hispanic,177.0,16.2,27.6
131,2007,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,71.0,6.1,7.1
132,2007,Chronic Lower Respiratory Diseases (J40-J47),F,Asian and Pacific Islander,29.0,5.6,7.9
133,2007,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,229.0,26.9,40.1
134,2007,All Other Causes,F,Other Race/ Ethnicity,15.0,53.54813559322028,52.78361581920898
135,2007,All Other Causes,F,Not Stated/Unknown,27.0,53.54813559322028,52.78361581920898
136,2007,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,187.0,14.0,12.7
137,2007,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
138,2007,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,190.0,16.3,22.3
139,2007,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,155.0,10.8,5.9
140,2007,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,29.0,53.54813559322028,52.78361581920898
141,2008,Malignant Neoplasms (Cancer: C00-C97),F,Black Non-Hispanic,1756.0,167.6,156.3
142,2008,Malignant Neoplasms (Cancer: C00-C97),M,Other Race/ Ethnicity,33.0,53.54813559322028,52.78361581920898
143,2008,All Other Causes,M,Black Non-Hispanic,1216.0,143.2,163.5
144,2008,Chronic Lower Respiratory Diseases (J40-J47),F,Black Non-Hispanic,191.0,18.2,17.1
145,2008,All Other Causes,M,White Non-Hispanic,1824.0,135.9,119.9
146,2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",F,Asian and Pacific Islander,26.0,4.9,4.5
147,2008,Diabetes Mellitus (E10-E14),F,Black Non-Hispanic,380.0,36.3,34.3
148,2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,White Non-Hispanic,165.0,12.3,10.3
149,2008,All Other Causes,M,Hispanic,1069.0,96.7,139.5
150,2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",M,White Non-Hispanic,227.0,16.9,15.5
151,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
152,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Asian and Pacific Islander,36.0,6.8,8.5
153,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Black Non-Hispanic,227.0,21.7,20.0
154,2008,"Congenital Malformations, Deformations, and Chromosomal Abnormalities (Q00-Q99)",M,Asian and Pacific Islander,14.0,2.8,3.0
155,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Hispanic,1330.0,120.3,228.0
156,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Asian and Pacific Islander,32.0,6.0,8.0
157,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Hispanic,1445.0,122.3,160.7
158,2008,Influenza (Flu) and Pneumonia (J09-J18),M,Asian and Pacific Islander,90.0,18.1,30.2
159,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Black Non-Hispanic,318.0,30.4,28.6
160,2008,Influenza (Flu) and Pneumonia (J09-J18),F,White Non-Hispanic,621.0,43.3,22.2
161,2008,Influenza (Flu) and Pneumonia (J09-J18),M,Not Stated/Unknown,11.0,53.54813559322028,52.78361581920898
162,2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Asian and Pacific Islander,31.0,6.2,9.8
163,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Other Race/ Ethnicity,39.0,53.54813559322028,52.78361581920898
164,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Black Non-Hispanic,146.0,17.2,18.1
165,2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
166,2008,Diabetes Mellitus (E10-E14),F,Hispanic,228.0,19.3,24.1
167,2008,All Other Causes,F,Not Stated/Unknown,42.0,53.54813559322028,52.78361581920898
168,2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
169,2008,Cerebrovascular Disease (Stroke: I60-I69),M,White Non-Hispanic,245.0,18.3,15.4
170,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Asian and Pacific Islander,546.0,109.6,166.3
171,2008,Malignant Neoplasms (Cancer: C00-C97),M,Hispanic,1080.0,97.7,165.9
172,2008,Chronic Lower Respiratory Diseases (J40-J47),F,White Non-Hispanic,518.0,36.1,21.4
173,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),F,Hispanic,113.0,9.6,9.6
174,2008,"Mental and Behavioral Disorders due to Accidental Poisoning and Other Psychoactive Substance Use (F11-F16, F18-F19, X40-X42, X44)",F,White Non-Hispanic,86.0,6.0,5.5
175,2008,Malignant Neoplasms (Cancer: C00-C97),F,Not Stated/Unknown,36.0,53.54813559322028,52.78361581920898
176,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Black Non-Hispanic,70.0,6.7,6.4
177,2008,Chronic Lower Respiratory Diseases (J40-J47),M,Black Non-Hispanic,169.0,19.9,26.4
178,2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",M,Hispanic,149.0,13.5,16.8
179,2008,All Other Causes,M,Asian and Pacific Islander,238.0,47.8,63.3
180,2008,All Other Causes,F,Black Non-Hispanic,1268.0,121.0,116.1
181,2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
182,2008,Chronic Lower Respiratory Diseases (J40-J47),F,Hispanic,156.0,13.2,16.8
183,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Hispanic,104.0,8.8,11.4
184,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,White Non-Hispanic,151.0,10.5,5.9
185,2008,All Other Causes,F,Other Race/ Ethnicity,19.0,53.54813559322028,52.78361581920898
186,2008,Diabetes Mellitus (E10-E14),F,Asian and Pacific Islander,47.0,8.8,11.3
187,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,White Non-Hispanic,272.0,20.3,18.4
188,2008,Malignant Neoplasms (Cancer: C00-C97),F,Asian and Pacific Islander,344.0,64.6,73.8
189,2008,"Chronic Liver Disease and Cirrhosis (K70, K73)",F,Hispanic,63.0,5.3,6.2
190,2008,Certain Conditions originating in the Perinatal Period (P00-P96),M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
191,2008,Influenza (Flu) and Pneumonia (J09-J18),M,Hispanic,187.0,16.9,35.5
192,2008,Influenza (Flu) and Pneumonia (J09-J18),M,Black Non-Hispanic,222.0,26.1,37.6
193,2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Black Non-Hispanic,134.0,15.8,20.9
194,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Hispanic,68.0,5.8,6.6
195,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Hispanic,227.0,19.2,25.5
196,2008,All Other Causes,F,White Non-Hispanic,1706.0,118.9,78.6
197,2008,Chronic Lower Respiratory Diseases (J40-J47),M,Asian and Pacific Islander,46.0,9.2,16.1
198,2008,Chronic Lower Respiratory Diseases (J40-J47),M,White Non-Hispanic,347.0,25.9,21.8
199,2008,Diabetes Mellitus (E10-E14),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
200,2008,"Essential Hypertension and Renal Diseases (I10, I12)",M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
201,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Not Stated/Unknown,13.0,53.54813559322028,52.78361581920898
202,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
203,2008,All Other Causes,F,Asian and Pacific Islander,214.0,40.2,50.3
204,2008,Malignant Neoplasms (Cancer: C00-C97),F,Other Race/ Ethnicity,21.0,53.54813559322028,52.78361581920898
205,2008,"Nephritis, Nephrotic Syndrome and Nephrisis (N00-N07, N17-N19, N25-N27)",F,Black Non-Hispanic,71.0,6.8,6.3
206,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Black Non-Hispanic,2725.0,260.1,243.6
207,2008,Diabetes Mellitus (E10-E14),M,White Non-Hispanic,246.0,18.3,15.6
208,2008,Malignant Neoplasms (Cancer: C00-C97),M,Black Non-Hispanic,1464.0,172.4,220.4
209,2008,Cerebrovascular Disease (Stroke: I60-I69),M,Asian and Pacific Islander,48.0,9.6,14.1
210,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Asian and Pacific Islander,456.0,85.6,117.7
211,2008,All Other Causes,M,Other Race/ Ethnicity,8.0,53.54813559322028,52.78361581920898
212,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",M,Black Non-Hispanic,2077.0,244.6,330.2
213,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
214,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Not Stated/Unknown,9.0,53.54813559322028,52.78361581920898
215,2008,All Other Causes,M,Not Stated/Unknown,67.0,53.54813559322028,52.78361581920898
216,2008,Malignant Neoplasms (Cancer: C00-C97),M,Asian and Pacific Islander,473.0,95.0,123.5
217,2008,Diabetes Mellitus (E10-E14),M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
218,2008,"Diseases of Heart (I00-I09, I11, I13, I20-I51)",F,Not Stated/Unknown,108.0,53.54813559322028,52.78361581920898
219,2008,Cerebrovascular Disease (Stroke: I60-I69),F,Hispanic,152.0,12.9,16.4
220,2008,"Assault (Homicide: Y87.1, X85-Y09)",M,Not Stated/Unknown,8.0,53.54813559322028,52.78361581920898
221,2008,Viral Hepatitis (B15-B19),M,Not Stated/Unknown,6.0,53.54813559322028,52.78361581920898
222,2008,Influenza (Flu) and Pneumonia (J09-J18),F,Not Stated/Unknown,14.0,53.54813559322028,52.78361581920898
223,2008,Chronic Lower Respiratory Diseases (J40-J47),M,Not Stated/Unknown,10.0,53.54813559322028,52.78361581920898
224,2008,Malignant Neoplasms (Cancer: C00-C97),M,White Non-Hispanic,3361.0,250.4,214.3
225,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Hispanic,222.0,20.1,22.7
226,2008,Chronic Lower Respiratory Diseases (J40-J47),F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
227,2008,Chronic Lower Respiratory Diseases (J40-J47),F,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
228,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
229,2008,Insitu or Benign / Uncertain Neoplasms (D00-D48),F,Not Stated/Unknown,5.0,53.54813559322028,52.78361581920898
230,2008,Alzheimer's Disease (G30),F,White Non-Hispanic,151.0,10.5,5.1
231,2008,Cerebrovascular Disease (Stroke: I60-I69),F,Asian and Pacific Islander,65.0,12.2,15.4
232,2008,"Accidents Except Drug Posioning (V01-X39, X43, X45-X59, Y85-Y86)",M,Hispanic,186.0,16.8,20.6
233,2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,Asian and Pacific Islander,30.0,6.0,6.3
234,2008,"Intentional Self-Harm (Suicide: X60-X84, Y87.0)",M,White Non-Hispanic,195.0,14.5,13.1
235,2008,Malignant Neoplasms (Cancer: C00-C97),M,Not Stated/Unknown,60.0,53.54813559322028,52.78361581920898
236,2008,"Essential Hypertension and Renal Diseases (I10, I12)",F,Not Stated/Unknown,448.1613445378151,53.54813559322028,52.78361581920898
237,2008,Human Immunodeficiency Virus Disease (HIV: B20-B24),M,Other Race/ Ethnicity,448.1613445378151,53.54813559322028,52.78361581920898
238,2008,Certain Conditions originating in the Perinatal Period (P00-P96),F,Not Stated/Unknown,6.0,53.54813559322028,52.78361581920898
